Ranking;Cla;Jogador;Lutou_Hoje;Ataques_Feitos;Fama_Hoje;Deck_1;Deck_2;Deck_3;Deck_4
1;Perú;BlasJoseph97;Sim;4/4;1600;Furnace, Goblins, Mega Knight, Poison, Ram Rider, Royal Ghost, Spirit Empress, Zap;Archers, Cannon, Electro Spirit, Fireball, Goblin Gang, Ice Golem, Ice Wizard, X-Bow;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;Perú;alexis;Sim;4/4;1150;Bats, Earthquake, Firecracker, Freeze, Hog Rider, Skeletons, Tesla, Valkyrie;Dark Prince, Electro Wizard, Fireball, Goblin Giant, Mini P.E.K.K.A, Sparky, Vines, Zap;Cannon, Dart Goblin, Goblin Barrel, Goblin Gang, Knight, Princess, Rocket, Royal Delivery;Bowler, Ice Spirit, Magic Archer, Royal Ghost, Skeleton Barrel, Skeleton King, Suspicious Bush, Wizard
3;Perú;Gianfranco;Sim;4/4;1000;Dark Prince, Electro Wizard, Firecracker, Goblin Cage, Golden Knight, Guards, Ram Rider, The Log;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;Perú;Jim_The_Hunter;Sim;4/4;1000;Firecracker, Goblin Demolisher, Goblin Giant, Hog Rider, Ice Wizard, Miner, Skeleton Dragons, The Log;Arrows, Balloon, Bomber, Electro Wizard, Giant Skeleton, Goblin Barrel, Night Witch, Spear Goblins;Archers, Electro Dragon, Goblin Machine, Goblins, Hunter, Mirror, Royal Hogs, Wizard;Bomb Tower, Executioner, Magic Archer, Mega Minion, Phoenix, Ram Rider, Skeleton Barrel, Witch
5;Perú;stevenx;Sim;4/4;900;Baby Dragon, Balloon, Cannon, Giant Skeleton, Goblins, Magic Archer, Rage, Tornado;Arrows, Bats, Boss Bandit, Firecracker, Giant Snowball, Little Prince, Miner, Wall Breakers;Bandit, Barbarian Barrel, Elite Barbarians, Freeze, Ice Spirit, Mini P.E.K.K.A, Skeleton Army, Witch;Dart Goblin, Goblin Barrel, Hog Rider, Ice Golem, Knight, Skeletons, The Log, Zap
1;ScdSqd;Rudi;Sim;4/4;1500;Arrows, Baby Dragon, Bandit, Electro Spirit, Flying Machine, Golem, Musketeer, Tesla;Electro Dragon, Elixir Golem, Furnace, Goblin Hut, Magic Archer, Rage, Sparky, Tornado;Bats, Electro Wizard, Fire Spirit, Golden Knight, Mortar, P.E.K.K.A, Princess, The Log;Barbarian Barrel, Cannon, Fireball, Ice Wizard, Inferno Dragon, Mega Knight, Witch, Zap
2;ScdSqd;Zuchtbulle;Sim;4/4;1150;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;ScdSqd;Karim;Sim;4/4;1100;Barbarians, Bomber, Elite Barbarians, Executioner, Freeze, Goblins, Sparky, The Log;Goblin Barrel, Hog Rider, Magic Archer, Musketeer, P.E.K.K.A, Rage, Skeleton Army, Witch;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;ScdSqd;Resi;Sim;4/4;1100;Baby Dragon, Goblin Barrel, Goblin Giant, Inferno Tower, Minion Horde, Rocket, Witch, Zap;Arrows, Barbarians, Bomb Tower, Cannon, Goblin Gang, Royal Hogs, Skeleton Dragons, Wizard;Fireball, Flying Machine, Giant, Goblin Hut, Mini P.E.K.K.A, Minions, Spear Goblins, Valkyrie;Archers, Bats, Bomber, Hog Rider, Inferno Dragon, Knight, Musketeer, Skeletons
5;ScdSqd;RewDee;Sim;4/4;1050;Bats, Clone, Flying Machine, Heal Spirit, Mini P.E.K.K.A, Spear Goblins, Witch, Zap;Bandit, Barbarian Barrel, Little Prince, Magic Archer, Mortar, Musketeer, Rage, The Log;Archers, Electro Dragon, Elixir Golem, Princess, Royal Ghost, Skeleton Army, Sparky, Tornado;Baby Dragon, Electro Spirit, Electro Wizard, Fireball, Ice Wizard, Inferno Dragon, Mega Knight, Skeletons
1;Tropa Do Bruxo;ツ ︻デ═一⟿ΔЯ₡λↁΣ☯︎;Sim;4/4;1500;Bandit, Cannon Cart, Dark Prince, Giant Snowball, Goblin Barrel, Princess, Rascals, Rocket;Balloon, Bomb Tower, Goblin Drill, Ice Spirit, Miner, Musketeer, Poison, The Log;Arrows, Bowler, Goblin Hut, Inferno Dragon, Minion Horde, Mirror, Skeleton Army, Valkyrie;Battle Ram, Earthquake, Fisherman, Hunter, Monk, Rage, Royal Ghost, Royal Giant
2;Tropa Do Bruxo;ips;Sim;4/4;1450;Archer Queen, Baby Dragon, Elite Barbarians, Goblin Gang, Mega Knight, Mega Minion, The Log, Witch;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;Tropa Do Bruxo;João Pedrœ;Sim;4/4;700;Barbarians, Bowler, Firecracker, Goblin Gang, Knight, Lumberjack, Magic Archer, Skeleton King;Baby Dragon, Bats, Electro Wizard, Goblin Barrel, Hog Rider, Inferno Tower, Skeleton Army, The Log;Guards, Little Prince, Musketeer, Prince, Princess, Royal Ghost, Tesla, Valkyrie;Bandit, Barbarian Barrel, Dart Goblin, Elite Barbarians, Executioner, Giant Snowball, Ice Golem, Zap
4;Tropa Do Bruxo;UZM/GD7AS;Nao;0/4;0;Bandit, Barbarians, Freeze, Goblin Cage, Guards, Knight, Royal Giant, Witch;Electro Spirit, Electro Wizard, Inferno Tower, P.E.K.K.A, Princess, The Log, Valkyrie, Wizard;Bats, Fireball, Goblin Gang, Hog Rider, Mini P.E.K.K.A, Musketeer, Poison, Tesla;Arrows, Dart Goblin, Ice Spirit, Ice Wizard, Mega Knight, Rocket, Royal Delivery, Spear Goblins
5;Tropa Do Bruxo;PoneyMaldito;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;Peruvian;JĘŞŲŞ;Sim;4/4;550;Battle Healer, Dart Goblin, Goblin Gang, Minions, Sparky, Tesla, The Log, X-Bow;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;Peruvian;leonardo xd;Sim;2/4;200;Dart Goblin, Fireball, Hog Rider, Ice Spirit, Tesla, The Log, Valkyrie, Zap;Arrows, Barbarian Barrel, Cannon, Dark Prince, Giant Skeleton, Knight, Musketeer, Skeletons;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;Peruvian;mastwr;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;Peruvian;MAEL;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
5;Peruvian;Tefit0oo;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;Таллинн рулит;Prosergio;Sim;4/4;1400;Electro Giant, Firecracker, Goblin Gang, Lumberjack, Musketeer, Spirit Empress, Tesla, X-Bow;Freeze, Giant, Magic Archer, Night Witch, Phoenix, Tombstone, Valkyrie, Vines;Baby Dragon, Battle Healer, Battle Ram, Executioner, Flying Machine, Furnace, Mirror, Tornado;Archers, Dart Goblin, Electro Dragon, Golden Knight, Golem, Poison, Skeletons, Witch
2;Таллинн рулит;art;Sim;4/4;1300;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;Таллинн рулит;Mihhail;Sim;4/4;1200;Archers, Baby Dragon, Battle Healer, Fire Spirit, Princess, Royal Giant, Three Musketeers, Zappies;Balloon, Cannon Cart, Electro Wizard, Minions, Tesla, Tombstone, Tornado, Valkyrie;Barbarian Barrel, Bowler, Firecracker, Flying Machine, Goblins, Graveyard, Hog Rider, Mega Knight;Bandit, Barbarians, Battle Ram, Goblin Cage, Inferno Dragon, Mother Witch, Prince, Spear Goblins
4;Таллинн рулит;Alex;Sim;4/4;1200;Battle Ram, Bomber, Firecracker, Mega Knight, Minions, Princess, Royal Ghost, Tesla;Archers, Bats, Dart Goblin, Electro Wizard, Executioner, Flying Machine, Inferno Dragon, Musketeer;Arrows, Barbarians, Electro Giant, Furnace, Knight, Skeleton Dragons, Tornado, Zappies;Baby Dragon, Fireball, Goblin Gang, Hog Rider, Skeleton Army, The Log, Valkyrie, Wizard
5;Таллинн рулит;Sakura;Sim;4/4;1200;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
