data;nome_oponente;tag_oponente;resultado;nivel_torre_jogador;vida_torre_rei_jogador;vida_torre_rei_oponente;vida_torres_princesa_jogador;vida_torres_princesa_oponente
01/05/2026 12:06;Joaolima;#JCYJ09U9G;Vitoria;0.0;7221.0;0.0;3185;0
01/05/2026 12:19;bimba;#8QU8YCVJJ;Vitoria;0.0;7728.0;0.0;41 | 2522;0
01/05/2026 14:57;<c2>Siegy;#20PR9YR8;Derrota;0.0;7728.0;7728.0;1734;2536 | 2831
01/05/2026 15:17;srendon17;#YVVPY2QJ0;Derrota;0.0;7119.0;6348.0;0;2149
01/05/2026 15:25;IsabelaLoL;#JRUQGV0JV;Vitoria;0.0;7728.0;7572.0;4562 | 2498;707
01/05/2026 15:45;Doodeck;#8L8GPL9UU;Vitoria;0.0;7626.0;6722.0;2554 | 1868;2181
01/05/2026 15:53;Pablo;#9Q808C2PC;Derrota;0.0;;;;
01/05/2026 15:58;GGolimpia;#V8U09RRCJ;Vitoria;0.0;7032.0;7032.0;3679 | 3153;1547
01/05/2026 16:06;флайзов;#202PQG0QCG;Derrota;0.0;7032.0;2127.0;0;761
01/05/2026 16:19;QWExzort;#Q292LRG22;Derrota;0.0;7032.0;7032.0;1250;2391 | 2914
01/05/2026 16:24;4:20 $;#VYPRP0GQG;Derrota;0.0;4824.0;4824.0;2178;2302 | 778
01/05/2026 16:32;yorni45;#2GUYJYPLQ;Derrota;0.0;4824.0;3373.0;0;86
01/05/2026 16:37;Deh_King;#C09Y9C8Q9;Vitoria;0.0;4824.0;4824.0;74 | 2408;1875
01/05/2026 16:46;<c7>starkiler;#98G9CYG8Y;Derrota;0.0;;;;
01/05/2026 17:54;cristian;#YV8QV9R90;Vitoria;0.0;7299.0;0.0;1612 | 3878;0
01/05/2026 20:28;Oh sim!;#YP90V0JR;Vitoria;0.0;7428.0;2717.0;660;0
01/05/2026 20:37;Izz;#VVUC8Y8;Vitoria;0.0;7728.0;7374.0;3573 | 286;2936
01/05/2026 20:43;TOCO;#292U9Q89P;Derrota;0.0;;;;
01/05/2026 20:53;Aguademora;#GYGPP0UG;Vitoria;0.0;7728.0;7032.0;2091 | 301;1600
01/05/2026 21:01;obamna;#8GGPGUYJP;Vitoria;0.0;7728.0;7032.0;4793 | 284;4424
01/05/2026 21:08;xKnowNamex;#29CJV8Y0P;Derrota;0.0;7728.0;7728.0;3338;2386 | 3914
01/05/2026 22:09;FerGood;#8QY9Q8P0;Derrota;0.0;;;;
01/05/2026 22:33;Aldair;#29VP0JVVP;Vitoria;0.0;4824.0;0.0;2716 | 385;0
01/05/2026 22:43;Combatiente;#GRRL9RQ0V;Derrota;0.0;3739.0;2710.0;0;1708
01/05/2026 23:19;Leek;#2GJJP909;Vitoria;0.0;3313.0;3246.0;4364;0
02/05/2026 00:21;mossy;#9UQRUV;Derrota;0.0;6001.0;7208.0;0;3853
02/05/2026 00:29;Alcides;#GV2JCC0Q;Derrota;0.0;;;;
02/05/2026 00:56;BLACK PEARL;#LYQ9VG99;Derrota;0.0;;;;
02/05/2026 01:04;BigJimmyW13;#9VVJ9CUL;Derrota;0.0;;;;
02/05/2026 01:08;ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ;#2LPPLGYUG;Derrota;0.0;7728.0;7032.0;4196;1532 | 1755
02/05/2026 01:14;TeTeu⁶⁹;#R0PJ2V22L;Vitoria;0.0;4507.0;4584.0;2735 | 951;147
02/05/2026 14:10;macuinnn;#YRL2PJCYG;Vitoria;0.0;7728.0;0.0;4536;0
02/05/2026 14:40;dienaivy;#QQPJPCGJQ;Derrota;0.0;0.0;7728.0;0;4412 | 4670
02/05/2026 14:46;hshdehdhdgdgfg;#2G8PRCPJ8;Vitoria;0.0;7728.0;4948.0;1092 | 3388;3790
02/05/2026 15:06;teflon thegreat;#Y99PQVL09;Derrota;0.0;5095.0;6666.0;0;2197
02/05/2026 15:11;Takakeno Okabe;#G0VYRLLP;Vitoria;0.0;7449.0;0.0;4858 | 2466;0
02/05/2026 15:26;ANDRES4.20;#2P0V9PCL2;Derrota;0.0;3130.0;3935.0;0;432
02/05/2026 15:32;『ᴀʟᴇx』†;#YQ9Q88JRC;Derrota;0.0;4824.0;4824.0;2284;335 | 2668
02/05/2026 16:14;smoooth;#UQVCYQYGR;Derrota;0.0;4824.0;4824.0;3052;1563 | 3052
02/05/2026 17:19;DeadPoolSaurio;#2UV28PU0;Vitoria;0.0;4824.0;2709.0;1502 | 3052;2247
02/05/2026 17:24;Awesome3.0;#LGJ8LLYY9;Derrota;0.0;4824.0;4824.0;1491;1561 | 3052
02/05/2026 21:11;<c5>CZard;#LUVUYJVP;Derrota;0.0;7728.0;7032.0;2831;2697 | 2007
02/05/2026 21:30;Donald95;#YRV2U29UU;Vitoria;0.0;7728.0;7032.0;1836 | 4858;2067
02/05/2026 21:48;papasmurf:);#2QY9J9CG2;Vitoria;0.0;4824.0;4824.0;3052 | 933;2033
02/05/2026 21:50;El Garca;#PYYG20LP;Derrota;0.0;0.0;4824.0;0;3052 | 2935
02/05/2026 22:13;Power guido;#P0VGQPPQ0;Vitoria;0.0;4725.0;4258.0;1958 | 3052;0
02/05/2026 22:20;jonny;#2UGPRGLU8;Vitoria;0.0;7728.0;7032.0;4412 | 4558;4424
02/05/2026 22:24;santi1128;#2LR8L0GRG;Derrota;0.0;5300.0;7032.0;4590;3718 | 1538
03/05/2026 13:12;ᴄᴙᴜɀ♱Ɗᶜᵒˡ✦;#2UQ9G0LVY;Derrota;0.0;0.0;7032.0;0;4424 | 2715
03/05/2026 13:16;do yo trf;#G2922Q02;Derrota;0.0;0.0;7032.0;0;3556 | 2772
03/05/2026 13:32;ANIL;#LVQG0J88U;Derrota;0.0;7728.0;7032.0;4021;4338 | 1075
03/05/2026 14:06;seyhunn;#J88JQCRV2;Vitoria;;;;;
03/05/2026 14:23;wiwi;#GRU0VJYL;Derrota;;;;;
03/05/2026 16:10;ed;#PVYGCPJ90;Derrota;;;;;
03/05/2026 16:25;thewolfpack2007;#P0PUV82C8;Derrota;;;;;
03/05/2026 16:34;BARbArian68;#22898JJ9JQ;Derrota;;;;;
03/05/2026 16:42;Elusive_Edward;#20GU8L9J9C;Vitoria;;;;;
03/05/2026 16:46;GoldenL;#VR2P2QVVQ;Vitoria;;;;;
03/05/2026 16:52;dark_light;#GVQQGUY9;Derrota;;;;;
03/05/2026 16:56;RagingVergil;#VGV8YY08J;Vitoria;;;;;
03/05/2026 17:27;XGRUBIES;#8U8GYVP9;Derrota;;;;;
03/05/2026 17:30;christian;#UJU2QQU;Vitoria;;;;;
03/05/2026 17:35;KEYSER;#2VPRUCR9J;Vitoria;;;;;
03/05/2026 23:03;☆irvin♤ペッカ♥︎;#YULLL9QQ2;Derrota;0.0;6753.0;7032.0;4279;1184 | 1623
03/05/2026 23:09;Warrior77;#R9U0JVQLJ;Derrota;0.0;6520.0;6660.0;1293;1830 | 877
03/05/2026 23:14;( • 0 • );#J90GJP2QJ;Derrota;0.0;7032.0;7032.0;2083;4015 | 3048
03/05/2026 23:20;gamboa_mdb;#2RPGJGP2J;Vitoria;0.0;5723.0;4900.0;1137;0
03/05/2026 23:24;YN_Bidoof;#V2QYR0J;Derrota;0.0;6818.0;7032.0;898;1568 | 2864
03/05/2026 23:28;ゆうき;#9GQLVVCRQ;Derrota;0.0;0.0;7032.0;0;3845 | 3603
03/05/2026 23:34;Joseph;#CVV92R082;Derrota;0.0;6822.0;7032.0;4213;4038 | 3038
03/05/2026 23:38;Fenix~ALE:3;#YUY8LUCU2;Derrota;0.0;7032.0;7032.0;4294;629 | 4025
03/05/2026 23:40;DesTroy;#LUVYGJ02;Derrota;0.0;0.0;7032.0;0;4424 | 4424
03/05/2026 23:44;주뱅;#9PGJJJPQC;Derrota;0.0;6510.0;7032.0;2976;163 | 2909
03/05/2026 23:48;NelsonLima;#RPGV2V82;Derrota;0.0;7032.0;7032.0;3041;3068 | 4067
03/05/2026 23:51;zone;#80VV8GGR8;Vitoria;0.0;7032.0;0.0;536 | 3653;0
03/05/2026 23:54;jian de metz;#8PLQ802UY;Derrota;0.0;6858.0;7032.0;1862;1001 | 3667
03/05/2026 23:58;Jefferson;#9Q0V09098;Derrota;0.0;7032.0;7032.0;2244;2340 | 849
30/04/2026 13:37;Tristmat TV;#LG8RYCC8Y;Vitoria;0.0;;;;
30/04/2026 17:06;P. E. K. K. A.;#2YJ9CR92P;Derrota;0.0;;;;
30/04/2026 17:08;mariano;#2GL0VG8GV;Vitoria;0.0;;;;
30/04/2026 23:06;Aycross;#8C2YQQVCP;Vitoria;0.0;7728.0;4654.0;907 | 1634;0
30/04/2026 23:21;신나게흔드록바;#8G92YLJ8Q;Vitoria;0.0;7728.0;0.0;3844 | 4858;0
